,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
MAINMENU_ADVENTURE,Play Adventure,Jogar Aventura,PARTIU,Приключение,アドベンチャーモード,Abenteuer,MODE AVENTURE,Modo Aventura,Hraj příběh,모험모드,Speel Avontuur,Modalità Avventura,遊玩冒險模式,游玩冒险模式,Mulai Petualangan,Tryb przygodowy,Kaland Inditása,เริ่มการผจญภัย,Eventyr modus,Spil Eventyr,Joacă aventura,Set Sail!,שחק הרפתקה,Spela Äventyr,Παίξε Περιπέτεια,Chế Độ Cốt Truyện,Macera Modu Oyna,طور المغامرة,Modo Aventura,Pelaa Seikkailutilaa,Приключение,
MAINMENU_ENDLESS,Play Endless,Jogar Infinito,CABA N MUNDÃO,Бесконечная игра,エンドレスモード,Endlosmodus,MODE SANS FIN,Modo Infinito,Hraj nekonečný mód,무한모드,Speel Oneindig,Modalità Infinita,遊玩無盡模式,游玩无尽模式,Mulai Petualangan Tak Terhingga,Tryb swobodny,Játssz végtelen módban,เริ่มการผจญภัย ไร้ที่สิ้นสุด,Endeløs modus,Spil Endeløs,"Joacă modul ""fară sfârșit""",Head for Unknown Seas,שחק אינסופי,Spela Oändligt,Παίξε Ατελείωτα,Chế Độ Tự Do,Sonsuz Modu Oyna,طور لانهائي,Modo Infinito,Pelaa Loputonta tilaa,Безкраен режим,Pradėt nuotykį be pabaigos
MAINMENU_STORM,Play Storm,Jogar Tempestade,FUDEU TUDO,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm,Play Storm
MAINMENU_SETTINGS,Settings,Opções,FRESCURADA,Настройки,オプション,Optionen,OPTIONS,Opciones,Nastavení,설정,Instellingen,Opzioni,設定,设置,Pengaturan,Ustawienia,Beállitások,ตั้งค่า,Innstillinger,Indstillinger,Setări,Settin's,הגדרות,Inställningar,Ρυθμίσεις,Điều Chỉnh,Ayarlar,الإعدادات,Definições,Asetukset,Настройки,Nustatymai
MAINMENU_CREDITS,Credits,Créditos,N CLICA QUE,Авторы,クレジット,Credits,CRÉDITS,Créditos,Autoři,만든이,Credits,Crediti,製作人員名單,制作人员名单,Daftar Tim Pembuat,Twórcy,Készítők,ทีมผู้พัฒนา,Kreditter,Kredits,Credite,Ye Maker,קרדיטים,Lista Över Medverkande,Συντελεστές,Thông tin trò chơi,Emeği Geçenler,فريق العمل,Créditos,Lopputekstit,"В ролите
",Kreditai
MAINMENU_QUIT,Exit,Sair,VAZA,Выход,おわる,Beenden,QUITTER,Salir,Konec,나가기,Sluit,Esci,退出遊戲,退出游戏,Keluar,Wyjdź z gry,Kilépés,กลับสู่หน้าหลัก,Avslutt,Afslut,Ieșire,Leave While Ye Can,יציאה,Avsluta,Έξοδος,Thoát,Çıkış,خروج,Sair,Poistu,Изход,Išeiti
MAINMENU_CANCEL,Cancel,Cancelar,SAI ZICA,Отмена,キャンセル,Abbrechen,ANNULER,Cancelar,Zrušit,취소,Annuleer,Annulla,取消,取消,Batalkan,Powrót,Mégse,ยกเลิก,Avbryt,Annuller,Anulare,Go Back!,ביטול,Avbryt,Ακύρωση,Hủy,İptal,إلغاء,Cancelar,Peruuta,Отказ,Atsaukti
MAINMENU_CONFIRM,Confirm,Confirmar,D BOA,Принять,けってい,Bestaetigen,CONFIRMER,Aceptar,Potvrdit,확인,Bevestig,Conferma,確定,确认,Setuju,Zatwierdź,Elfogad,ยืนยัน,Godta,Godkend,Confirmă,Aye!,אישור,Bekräfta,Επιβεβαίωση,Xác Nhận,Onayla,تأكيد,Confirmar,Vahvista,Потвърждаване,Patvirtinti
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINMENU_DAILY,DAILY,DIÁRIA,VICIO,ЕЖЕДНЕВНОЕ,デイリー,Tagesherausforderung,"Spécial
",Reto Diario,DAILY,일일미션,DAGELIJKS,GIORNALIERA,DAILY,DAILY,Harian,DZIENNY,DAILY,ประจำวัน,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,Günlük,DAILY,DAILY,PÄIVITTÄISHAASTE,ДНЕВНО,DAILY
